City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Victor Harbor,-35.5667,138.6167,59.94,93,0,4.63,AU,2022-04-07 14:25:59
1,Las Varas,21.1667,-105.1667,62.08,68,27,2.17,MX,2022-04-07 14:25:59
2,Ranong,9.9658,98.6348,80.04,82,98,2.91,TH,2022-04-07 14:25:59
3,Mahebourg,-20.4081,57.7,79.25,83,40,9.22,MU,2022-04-07 14:26:00
4,Vardo,70.3705,31.1107,33.78,93,75,20.71,NO,2022-04-07 14:26:00
5,Castro,-24.7911,-50.0119,68.59,81,97,4.85,BR,2022-04-07 14:25:22
6,Atuona,-9.8,-139.0333,78.55,78,14,16.26,PF,2022-04-07 14:26:00
7,Jamestown,42.097,-79.2353,48.72,79,100,6.91,US,2022-04-07 14:23:17
8,Butaritari,3.0707,172.7902,80.85,81,99,16.26,KI,2022-04-07 14:26:01
9,Bredasdorp,-34.5322,20.0403,64.65,49,79,10.8,ZA,2022-04-07 14:25:57
10,Yarkovo,57.4028,67.0786,36.0,97,100,10.16,RU,2022-04-07 14:26:01
11,Port Alfred,-33.5906,26.891,63.18,70,28,8.99,ZA,2022-04-07 14:26:01
12,Hithadhoo,-0.6,73.0833,83.05,62,7,2.26,MV,2022-04-07 14:26:02
13,Sovetskiy,61.3614,63.5842,32.13,99,100,6.49,RU,2022-04-07 14:26:02
14,Albany,42.6001,-73.9662,46.94,91,100,7.0,US,2022-04-07 14:26:02
15,Rikitea,-23.1203,-134.9692,78.69,66,3,14.52,PF,2022-04-07 14:22:04
16,Ketchikan,55.3422,-131.6461,42.78,87,100,14.97,US,2022-04-07 14:26:03
17,Severo-Kurilsk,50.6789,156.125,30.61,92,100,7.76,RU,2022-04-07 14:26:03
18,Canutama,-6.5339,-64.3831,82.76,76,100,3.18,BR,2022-04-07 14:26:03
19,Tiksi,71.6872,128.8694,-7.33,100,91,1.9,RU,2022-04-07 14:25:47
20,Sao Filipe,14.8961,-24.4956,72.88,75,2,11.97,CV,2022-04-07 14:26:04
21,Kapaa,22.0752,-159.319,72.12,85,20,16.11,US,2022-04-07 14:23:12
22,Roma,43.2128,-75.4557,50.72,96,100,8.05,US,2022-04-07 14:26:04
23,Cherskiy,68.75,161.3,-22.79,100,55,2.24,RU,2022-04-07 14:26:05
24,Punta Arenas,-53.15,-70.9167,41.02,87,0,4.61,CL,2022-04-07 14:26:05
25,Whitehorse,60.7161,-135.0538,29.17,74,75,11.5,CA,2022-04-07 14:26:05
26,Ayaviri,-14.8864,-70.5889,49.96,69,80,2.19,PE,2022-04-07 14:26:05
27,Qaanaaq,77.484,-69.3632,-2.56,77,63,7.02,GL,2022-04-07 14:24:36
28,Havelock,34.8791,-76.9013,70.02,92,20,13.8,US,2022-04-07 14:25:12
29,Yellowknife,62.456,-114.3525,24.42,90,75,6.91,CA,2022-04-07 14:22:16
30,Cape Town,-33.9258,18.4232,70.12,52,20,19.57,ZA,2022-04-07 14:22:22
31,Zhigansk,66.7697,123.3711,-10.66,100,74,5.32,RU,2022-04-07 14:26:06
32,Kavaratti,10.5669,72.642,83.8,72,97,9.01,IN,2022-04-07 14:25:52
33,Nikolskoye,59.7035,30.7861,41.88,99,100,7.56,RU,2022-04-07 14:26:07
34,Busselton,-33.65,115.3333,66.11,61,59,4.47,AU,2022-04-07 14:26:07
35,Cidreira,-30.1811,-50.2056,72.72,78,92,13.87,BR,2022-04-07 14:26:07
36,Mar Del Plata,-38.0023,-57.5575,60.82,90,75,14.97,AR,2022-04-07 14:26:08
37,Iqaluit,63.7506,-68.5145,10.13,72,75,0.0,CA,2022-04-07 14:26:08
38,Puerto Del Rosario,28.5004,-13.8627,69.55,43,20,18.41,ES,2022-04-07 14:26:08
39,Ola,59.5833,151.2833,22.66,93,100,12.39,RU,2022-04-07 14:26:08
40,Synya,65.3718,58.0387,18.25,88,100,8.95,RU,2022-04-07 14:26:09
41,Erie,42.7667,-78.6664,48.27,90,100,1.99,US,2022-04-07 14:26:09
42,Alofi,-19.0595,-169.9187,71.49,94,100,3.44,NU,2022-04-07 14:26:09
43,Nome,64.5011,-165.4064,-11.13,70,0,14.97,US,2022-04-07 14:27:10
44,Peniche,39.3558,-9.3811,60.93,75,99,11.52,PT,2022-04-07 14:27:10
45,Makakilo City,21.3469,-158.0858,72.68,72,20,11.5,US,2022-04-07 14:27:10
46,Vaini,-21.2,-175.2,77.16,100,75,3.44,TO,2022-04-07 14:27:11
47,Flin Flon,54.7682,-101.865,28.24,86,20,3.44,CA,2022-04-07 14:22:15
48,Muromtsevo,56.3724,75.2418,32.13,94,90,5.79,RU,2022-04-07 14:27:11
49,Coquimbo,-29.9533,-71.3436,56.93,88,40,8.05,CL,2022-04-07 14:27:11
50,Mataura,-46.1927,168.8643,46.47,73,91,5.64,NZ,2022-04-07 14:27:12
51,Nanortalik,60.1432,-45.2371,31.19,87,100,6.82,GL,2022-04-07 14:27:12
52,Calafell,41.2,1.5683,78.08,67,7,10.0,ES,2022-04-07 14:27:13
53,Kungurtug,50.5994,97.5228,35.19,94,98,2.24,RU,2022-04-07 14:27:13
54,Yulara,-25.2406,130.9889,71.44,30,0,6.91,AU,2022-04-07 14:27:13
55,Youkounkoun,12.5333,-13.1333,107.26,15,82,4.16,GN,2022-04-07 14:27:14
56,Vysokogornyy,50.1167,139.15,18.36,90,100,5.97,RU,2022-04-07 14:27:14
57,Kavieng,-2.5744,150.7967,81.43,77,100,4.76,PG,2022-04-07 14:27:14
58,Kruisfontein,-34.0033,24.7314,64.89,55,65,17.67,ZA,2022-04-07 14:27:14
59,Chateauroux,46.8167,1.7,55.4,94,100,25.32,FR,2022-04-07 14:27:15
60,Vinh,18.6667,105.6667,71.26,65,6,1.9,VN,2022-04-07 14:27:15
61,Cabo San Lucas,22.8909,-109.9124,70.52,77,34,1.99,MX,2022-04-07 14:24:26
62,Baft,29.234,56.6057,70.18,8,4,12.77,IR,2022-04-07 14:27:16
63,Haimen,23.1935,116.6142,69.69,62,79,17.63,CN,2022-04-07 14:27:16
64,Bosaso,11.2842,49.1816,82.38,78,0,14.97,SO,2022-04-07 14:27:16
65,Carballo,43.213,-8.691,57.0,91,100,14.38,ES,2022-04-07 14:27:16
66,Kuala Terengganu,5.3302,103.1408,76.95,94,40,4.61,MY,2022-04-07 14:27:17
67,Cape Canaveral,28.4058,-80.6048,81.07,81,75,19.57,US,2022-04-07 14:27:17
68,Dikson,73.5069,80.5464,3.47,96,100,11.99,RU,2022-04-07 14:25:56
69,Bengkulu,-3.8004,102.2655,76.03,81,100,4.16,ID,2022-04-07 14:27:17
70,Bonthe,7.5264,-12.505,81.88,69,100,5.17,SL,2022-04-07 14:27:18
71,Mildura,-34.2,142.15,62.56,63,3,5.75,AU,2022-04-07 14:24:52
72,Burnie,-41.0667,145.9167,57.92,77,82,8.9,AU,2022-04-07 14:27:18
73,Champerico,14.3,-91.9167,82.94,71,6,10.16,GT,2022-04-07 14:27:18
74,Ostrovnoy,68.0531,39.5131,27.88,84,100,8.72,RU,2022-04-07 14:27:19
75,Arraial Do Cabo,-22.9661,-42.0278,80.56,74,20,11.5,BR,2022-04-07 14:27:19
76,Lorengau,-2.0226,147.2712,81.0,84,97,16.15,PG,2022-04-07 14:27:19
77,Taoudenni,22.6783,-3.9836,97.43,7,5,10.09,ML,2022-04-07 14:27:20
78,Hermanus,-34.4187,19.2345,66.79,58,39,10.76,ZA,2022-04-07 14:27:20
79,Bom Jesus,-9.0744,-44.3586,92.97,30,39,5.26,BR,2022-04-07 14:27:20
80,Roebourne,-20.7833,117.1333,88.18,50,78,11.63,AU,2022-04-07 14:23:15
81,Santa Cruz,-17.8,-63.1667,86.05,66,75,13.8,BO,2022-04-07 14:27:21
82,Ribeira Grande,38.5167,-28.7,63.0,94,75,26.46,PT,2022-04-07 14:27:21
83,Ancud,-41.8697,-73.8203,57.22,94,100,4.36,CL,2022-04-07 14:27:08
84,Norman Wells,65.282,-126.8329,8.64,78,0,8.05,CA,2022-04-07 14:27:21
85,Bethel,41.3712,-73.414,49.1,90,100,11.5,US,2022-04-07 14:24:57
86,Mogadouro,41.3403,-6.7119,60.87,40,73,14.76,PT,2022-04-07 14:27:22
87,Deputatskiy,69.3,139.9,-15.95,100,100,2.73,RU,2022-04-07 14:27:22
88,Khatanga,71.9667,102.5,9.84,86,100,12.15,RU,2022-04-07 14:28:22
89,Alta Gracia,-31.6529,-64.4283,79.56,52,0,6.33,AR,2022-04-07 14:28:23
90,Airai,-8.9266,125.4092,60.06,93,87,2.48,TL,2022-04-07 14:28:23
91,Kahului,20.8947,-156.47,73.85,72,0,13.8,US,2022-04-07 14:28:23
92,Longyearbyen,78.2186,15.6401,13.84,57,20,9.22,SJ,2022-04-07 14:28:23
93,Lebu,-37.6167,-73.65,60.82,81,23,2.86,CL,2022-04-07 14:28:24
94,Bluff,-46.6,168.3333,54.32,77,90,24.09,NZ,2022-04-07 14:28:24
95,Westport,41.1415,-73.3579,50.83,90,100,14.97,US,2022-04-07 14:27:31
96,Nerchinskiy Zavod,51.3088,119.61,38.05,84,100,7.11,RU,2022-04-07 14:28:24
97,Kamaishi,39.2667,141.8833,40.46,82,100,6.87,JP,2022-04-07 14:28:25
98,Havoysund,70.9963,24.6622,34.03,85,100,23.6,NO,2022-04-07 14:28:25
99,Puri,19.8,85.85,81.12,88,8,14.16,IN,2022-04-07 14:28:25
100,Tuktoyaktuk,69.4541,-133.0374,10.4,79,75,4.61,CA,2022-04-07 14:28:26
101,Grand Gaube,-20.0064,57.6608,79.38,83,57,5.99,MU,2022-04-07 14:28:26
102,Hualmay,-11.0964,-77.6139,71.15,80,58,7.54,PE,2022-04-07 14:28:26
103,Warri,5.5167,5.75,86.47,64,100,8.5,NG,2022-04-07 14:28:27
104,Beringovskiy,63.05,179.3167,-2.47,87,100,5.08,RU,2022-04-07 14:28:27
105,Necochea,-38.5473,-58.7368,64.31,69,19,12.97,AR,2022-04-07 14:28:27
106,Thompson,55.7435,-97.8558,21.36,68,75,9.22,CA,2022-04-07 14:27:28
107,Dunedin,-45.8742,170.5036,50.81,63,28,10.0,NZ,2022-04-07 14:28:28
108,Bilimora,20.7672,72.9693,87.71,20,31,7.09,IN,2022-04-07 14:28:28
109,Mazatlan,23.2167,-106.4167,68.92,90,100,1.99,MX,2022-04-07 14:25:13
110,Hohhot,40.8106,111.6522,44.89,31,0,6.71,CN,2022-04-07 14:28:28
111,Marevo,57.3146,32.0804,45.21,91,100,10.02,RU,2022-04-07 14:28:29
112,Rocha,-34.4833,-54.3333,77.81,39,100,1.88,UY,2022-04-07 14:28:29
113,Provideniya,64.3833,-173.3,-8.72,92,90,3.36,RU,2022-04-07 14:28:29
114,Talnakh,69.4865,88.3972,20.21,96,100,2.86,RU,2022-04-07 14:28:29
115,Zeya,53.75,127.2667,21.56,70,98,3.74,RU,2022-04-07 14:28:30
116,Rafraf,37.1904,10.1837,68.31,68,0,25.08,TN,2022-04-07 14:28:30
117,Lundazi,-12.2929,33.1782,74.59,81,100,0.16,ZM,2022-04-07 14:28:30
118,Los Llanos De Aridane,28.6585,-17.9182,65.95,73,20,8.05,ES,2022-04-07 14:28:31
119,Chunskiy,56.0815,99.6342,34.38,87,74,9.42,RU,2022-04-07 14:28:31
120,Zhaodong,46.0833,125.9833,36.03,27,72,8.59,CN,2022-04-07 14:28:31
121,Grindavik,63.8424,-22.4338,33.75,47,40,16.11,IS,2022-04-07 14:28:32
122,Waipawa,-41.4122,175.5153,42.55,82,0,4.03,NZ,2022-04-07 14:28:32
123,Lazaro Cardenas,17.9583,-102.2,72.37,80,55,3.31,MX,2022-04-07 14:24:41
124,Hay River,60.8156,-115.7999,26.58,59,75,5.75,CA,2022-04-07 14:28:32
125,Potam,27.6,-110.3833,71.6,49,0,3.74,MX,2022-04-07 14:28:33
126,Keffi,8.8486,7.8736,101.93,24,100,3.91,NG,2022-04-07 14:28:33
127,Kaitangata,-46.2817,169.8464,48.04,72,68,13.02,NZ,2022-04-07 14:28:33
128,Ilhabela,-23.7781,-45.3581,76.39,74,99,4.61,BR,2022-04-07 14:28:34
129,Mount Gambier,-37.8333,140.7667,55.31,88,0,9.22,AU,2022-04-07 14:28:34
130,Poitiers,46.5833,0.3333,58.24,62,100,19.57,FR,2022-04-07 14:28:34
131,Fershampenuaz,53.5202,59.8117,39.6,84,88,14.85,RU,2022-04-07 14:28:35
132,Narsaq,60.9167,-46.05,37.62,66,95,2.08,GL,2022-04-07 14:28:35
133,Olinda,-8.0089,-34.8553,85.73,74,40,8.05,BR,2022-04-07 14:28:35
134,Namwala,-15.7504,26.4384,77.86,65,52,7.38,ZM,2022-04-07 14:29:35
135,Dali,25.7,100.1833,57.51,68,100,1.61,CN,2022-04-07 14:29:36
136,Jinchang,38.4953,102.1739,61.83,10,0,7.14,CN,2022-04-07 14:29:36
137,Port Blair,11.6667,92.75,82.44,78,40,2.3,IN,2022-04-07 14:29:36
138,Luderitz,-26.6481,15.1594,74.55,49,22,23.51,NA,2022-04-07 14:25:45
139,Cap Malheureux,-19.9842,57.6142,79.47,83,44,5.01,MU,2022-04-07 14:29:37
140,Dire Dawa,9.5931,41.8661,87.82,16,100,12.95,ET,2022-04-07 14:29:37
141,Ponta Do Sol,32.6667,-17.1,66.83,89,41,0.54,PT,2022-04-07 14:29:37
142,Kudahuvadhoo,2.6708,72.8944,84.18,66,68,2.57,MV,2022-04-07 14:29:38
143,Ushuaia,-54.8,-68.3,40.62,75,20,10.36,AR,2022-04-07 14:26:23
144,Saskylakh,71.9167,114.0833,-19.82,100,6,2.33,RU,2022-04-07 14:29:38
145,Barrow,71.2906,-156.7887,-2.18,78,100,9.22,US,2022-04-07 14:29:38
146,Saint-Philippe,-21.3585,55.7679,78.39,81,43,10.38,RE,2022-04-07 14:29:39
147,Kibre Mengist,5.8833,38.9833,83.07,21,100,9.37,ET,2022-04-07 14:29:39
148,Hovd,48.0056,91.6419,55.81,23,33,9.13,MN,2022-04-07 14:29:39
149,Cayenne,4.9333,-52.3333,84.24,1,75,11.5,GF,2022-04-07 14:29:40
150,Cairns,-16.9167,145.7667,76.95,89,40,6.91,AU,2022-04-07 14:29:40
151,Banyuwangi,-8.2325,114.3576,76.35,92,97,2.73,ID,2022-04-07 14:29:40
152,Anadyr,64.75,177.4833,-1.7,78,0,6.71,RU,2022-04-07 14:29:40
153,Morondava,-20.2833,44.2833,84.34,54,0,10.18,MG,2022-04-07 14:29:41
154,Lagoa,39.05,-27.9833,60.76,87,100,23.4,PT,2022-04-07 14:29:41
155,Sangar,63.9242,127.4739,-1.7,99,99,1.45,RU,2022-04-07 14:29:41
156,Walvis Bay,-22.9575,14.5053,76.15,46,0,9.22,NA,2022-04-07 14:29:42
157,Husavik,66.0449,-17.3389,27.52,68,92,7.45,IS,2022-04-07 14:29:42
158,Hanyang,32.1371,105.5126,60.15,67,0,3.24,CN,2022-04-07 14:29:42
159,Dzaoudzi,-12.7887,45.2699,85.89,70,0,8.05,YT,2022-04-07 14:29:43
160,Geraldton,-28.7667,114.6,75.61,78,100,10.36,AU,2022-04-07 14:29:43
161,Mehamn,71.0357,27.8492,32.81,95,100,20.65,NO,2022-04-07 14:25:03
162,Nemuro,43.3236,145.575,35.28,79,100,10.71,JP,2022-04-07 14:29:43
163,Saldanha,-33.0117,17.9442,69.85,62,70,23.71,ZA,2022-04-07 14:29:44
164,Mangrol,21.1167,70.1167,87.33,48,92,18.32,IN,2022-04-07 14:29:44
165,Opuwo,-18.0607,13.84,87.84,26,0,5.14,NA,2022-04-07 14:29:44
166,Port Lincoln,-34.7333,135.8667,61.09,87,54,11.9,AU,2022-04-07 14:29:44
167,Salalah,17.0151,54.0924,82.49,74,0,8.05,OM,2022-04-07 14:29:45
168,Moscow,55.7522,37.6156,48.43,100,100,9.51,RU,2022-04-07 14:27:49
169,Reconquista,-29.15,-59.65,64.06,95,100,18.45,AR,2022-04-07 14:29:45
170,Chuy,-33.6971,-53.4616,71.62,54,100,4.68,UY,2022-04-07 14:29:45
171,Boa Vista,2.8197,-60.6733,87.78,51,40,23.02,BR,2022-04-07 14:29:46
172,Lerici,44.0759,9.9112,61.0,75,40,3.0,IT,2022-04-07 14:29:46
173,Moreira Sales,-24.0622,-53.0069,80.1,71,100,7.54,BR,2022-04-07 14:29:46
174,Ambon,-3.6954,128.1814,78.94,89,40,13.8,ID,2022-04-07 14:29:47
175,San Cristobal,7.7669,-72.225,71.78,66,100,5.46,VE,2022-04-07 14:29:47
176,Hilo,19.7297,-155.09,71.33,88,100,6.91,US,2022-04-07 14:29:47
177,Osakarovka,50.565,72.5692,40.41,84,100,5.23,KZ,2022-04-07 14:29:48
178,Codrington,-38.2667,141.9667,56.03,91,0,8.75,AU,2022-04-07 14:29:48
179,Raga,8.4596,25.678,101.25,22,75,3.4,SS,2022-04-07 14:29:48
180,Presidencia Roque Saenz Pena,-26.7852,-60.4388,73.83,92,94,9.35,AR,2022-04-07 14:29:48
181,Te Anau,-45.4167,167.7167,42.62,85,53,1.41,NZ,2022-04-07 14:29:49
182,Vestmannaeyjar,63.4427,-20.2734,38.39,65,0,3.44,IS,2022-04-07 14:30:49
183,Shingu,33.7333,135.9833,54.95,86,0,6.71,JP,2022-04-07 14:29:15
184,Pevek,69.7008,170.3133,-3.3,98,100,8.52,RU,2022-04-07 14:30:49
185,Shache,38.4167,77.2406,73.62,12,4,9.26,CN,2022-04-07 14:30:50
186,Caldwell,43.6629,-116.6874,43.92,69,0,4.61,US,2022-04-07 14:30:50
187,Hobart,-42.8794,147.3294,53.06,85,27,4.61,AU,2022-04-07 14:30:12
188,Kongolo,-5.3833,27.0,77.23,89,79,2.91,CD,2022-04-07 14:30:50
189,Hasaki,35.7333,140.8333,52.29,85,15,10.51,JP,2022-04-07 14:30:51
190,Teguise,29.0605,-13.564,68.22,43,20,17.27,ES,2022-04-07 14:29:46
191,Zlobin,45.2924,14.6541,51.1,58,20,5.75,HR,2022-04-07 14:30:51
192,Emerald,-23.5333,148.1667,75.34,64,25,10.36,AU,2022-04-07 14:30:51
193,Sambava,-14.2667,50.1667,79.68,86,43,9.8,MG,2022-04-07 14:30:52
194,New Norfolk,-42.7826,147.0587,52.72,69,11,2.06,AU,2022-04-07 14:30:52
195,Tasiilaq,65.6145,-37.6368,26.76,88,100,9.15,GL,2022-04-07 14:30:52
196,Koutsouras,35.0339,25.9469,70.11,65,100,9.73,GR,2022-04-07 14:30:53
197,Maceio,-9.6658,-35.7353,85.44,61,75,13.8,BR,2022-04-07 14:30:48
198,Oda,35.1833,132.5,52.57,89,1,9.8,JP,2022-04-07 14:30:53
199,Kapit,2.0167,112.9333,73.71,99,99,2.44,MY,2022-04-07 14:30:53
200,Namibe,-15.1961,12.1522,75.49,68,7,10.8,AO,2022-04-07 14:30:54
201,Rincon De La Victoria,36.7172,-4.2758,74.84,46,0,6.2,ES,2022-04-07 14:30:54
202,Guerrero Negro,27.9769,-114.0611,65.61,66,0,3.51,MX,2022-04-07 14:30:54
203,Marzuq,14.4,46.4667,83.88,20,51,9.73,YE,2022-04-07 14:27:08
204,Cervo,43.6702,-7.4101,54.97,71,100,23.64,ES,2022-04-07 14:30:55
205,Borgomanero,45.7024,8.4581,67.17,42,100,3.0,IT,2022-04-07 14:30:55
206,Honiara,-9.4333,159.95,78.06,85,100,2.48,SB,2022-04-07 14:30:55
207,College,64.8569,-147.8028,16.12,82,75,0.0,US,2022-04-07 14:30:56
208,La Ronge,55.1001,-105.2842,26.82,68,0,3.44,CA,2022-04-07 14:30:56
209,Shenjiamen,29.9576,122.298,57.33,80,0,7.7,CN,2022-04-07 14:30:56
210,Dalbandin,28.8947,64.4101,86.49,9,0,6.98,PK,2022-04-07 14:30:56
211,Zlitan,32.4674,14.5687,62.49,60,1,22.19,LY,2022-04-07 14:30:57
212,Kanniyakumari,8.0833,77.5667,84.16,73,22,7.81,IN,2022-04-07 14:30:57
213,Clyde River,70.4692,-68.5914,10.63,85,100,6.91,CA,2022-04-07 14:30:57
214,Lasa,46.6166,10.7002,60.69,82,95,5.61,IT,2022-04-07 14:30:58
215,Klaksvik,62.2266,-6.589,38.32,73,100,34.0,FO,2022-04-07 14:30:58
216,Camabatela,-8.1881,15.375,74.35,79,53,2.95,AO,2022-04-07 14:30:58
217,Antalaha,-14.9003,50.2788,78.46,90,91,8.81,MG,2022-04-07 14:30:59
218,Hofn,64.2539,-15.2082,35.62,38,20,17.27,IS,2022-04-07 14:30:59
219,Cibitoke,-2.8833,29.25,68.14,80,96,1.92,BI,2022-04-07 14:30:59
220,Cap-Aux-Meules,47.3821,-61.8597,39.25,81,75,11.5,CA,2022-04-07 14:31:00
221,Marawi,7.9986,124.2928,69.58,96,100,1.41,PH,2022-04-07 14:31:00
222,Sisimiut,66.9395,-53.6735,15.57,73,8,11.39,GL,2022-04-07 14:31:00
223,Newcastle,-32.9272,151.7765,67.71,97,100,2.3,AU,2022-04-07 14:30:53
224,Sorland,67.667,12.6934,37.26,70,0,13.8,NO,2022-04-07 14:31:01
225,Westlock,54.1502,-113.8688,31.1,56,100,10.38,CA,2022-04-07 14:31:01
226,Langham,52.3668,-106.9679,36.01,80,99,5.59,CA,2022-04-07 14:31:01
227,Otradnoye,59.7775,30.8181,43.03,99,100,7.47,RU,2022-04-07 14:31:02
228,Puerto Ayora,-0.7393,-90.3518,80.56,80,65,7.94,EC,2022-04-07 14:26:43
229,Soure,-0.7167,-48.5233,78.35,87,99,7.18,BR,2022-04-07 14:26:07
230,Caxito,-8.5785,13.6643,89.55,58,42,7.05,AO,2022-04-07 14:32:02
231,Manassas Park,38.784,-77.4697,51.75,94,100,5.99,US,2022-04-07 14:32:02
232,Saint Anthony,45.0205,-93.218,37.33,93,100,16.11,US,2022-04-07 14:30:44
233,Lasem,-6.6922,111.4527,77.05,87,100,2.93,ID,2022-04-07 14:32:03
